,GSM215347,GSM215348,GSM215349,GSM215350,GSM215351,GSM215352,GSM215353,GSM215354,GSM215355,GSM215356,GSM215357,GSM215358
AFFX-BioB-5_at,391.1,270.5,282.1,233.1,229.4,203.7,220.9,217.7,190.6,248.1,183.1,202.4
AFFX-BioB-M_at,474.3,318.8,344.8,322.9,318.8,361.5,288.8,277.8,269.5,360.0,281.0,295.8
AFFX-BioB-3_at,305.3,264.6,236.6,234.4,233.2,217.2,236.6,192.8,173.5,235.2,247.1,203.7
AFFX-BioC-5_at,864.9,700.0,657.2,554.0,610.1,620.6,548.8,639.6,529.3,627.7,575.6,555.6
AFFX-BioC-3_at,916.9,723.8,728.9,578.3,696.8,721.2,619.8,551.5,607.0,708.7,682.6,714.9
AFFX-BioDn-5_at,2306.6,1906.9,1850.8,1686.3,1646.3,1840.1,1621.6,1699.0,1486.0,1658.1,1697.8,1632.3
AFFX-BioDn-3_at,4961.6,3962.1,3707.0,3415.2,3647.7,3822.7,3308.2,3854.3,3196.3,3500.5,3551.9,3236.3
AFFX-CreX-5_at,14539.9,12803.1,12124.6,10950.9,10774.2,12424.0,10371.3,11745.0,9806.0,10795.4,12049.4,10349.0
AFFX-CreX-3_at,17903.5,15992.8,15481.7,13810.6,14316.9,15014.2,13428.6,14420.2,12743.5,14648.0,14451.0,13618.5
AFFX-DapX-5_at,91.0,80.9,158.7,118.4,110.8,70.6,94.4,128.1,131.3,102.3,106.5,157.9
AFFX-DapX-M_at,237.9,203.9,293.1,251.4,246.7,222.6,269.9,311.6,310.6,277.3,251.1,256.8
AFFX-DapX-3_at,443.7,275.9,476.4,340.9,340.9,315.2,366.0,484.0,457.3,391.7,409.9,358.0
AFFX-LysX-5_at,20.3,19.0,20.5,25.2,19.9,18.9,29.4,21.1,18.5,25.4,25.2,20.9
AFFX-LysX-M_at,20.8,36.4,45.0,32.5,42.6,14.3,36.2,42.1,29.7,52.5,35.0,23.1
AFFX-LysX-3_at,68.4,57.1,63.1,62.4,66.3,57.5,52.6,56.5,75.9,58.1,58.5,65.5
AFFX-PheX-5_at,12.9,25.1,44.2,16.3,20.0,32.5,17.9,30.6,17.0,30.1,29.6,34.4
AFFX-PheX-M_at,22.8,39.0,35.8,35.5,34.2,27.3,36.4,42.8,31.9,44.9,36.7,28.0
AFFX-PheX-3_at,78.6,25.9,24.6,47.9,39.5,37.2,40.5,38.6,47.5,58.3,61.5,39.2
AFFX-ThrX-5_at,32.4,31.9,31.9,10.2,52.8,11.9,39.1,37.8,48.4,26.2,42.0,34.7
AFFX-ThrX-M_at,65.2,28.8,66.2,51.1,58.9,48.8,59.3,58.3,59.5,59.7,51.8,41.6
AFFX-ThrX-3_at,112.9,88.6,123.6,102.4,124.0,136.8,118.1,179.4,129.1,153.4,155.2,131.2
AFFX-TrpnX-5_at,11.1,6.2,22.5,11.2,16.4,11.8,3.9,8.2,13.2,13.1,3.5,3.1
AFFX-TrpnX-M_at,1.5,2.4,1.5,2.3,2.1,2.2,1.6,3.2,2.4,1.1,3.2,4.8
AFFX-TrpnX-3_at,13.0,10.4,21.6,1.3,2.9,9.8,15.5,16.3,5.2,8.6,2.1,22.3
AFFX-r2-Ec-bioB-5_at,619.4,583.8,543.2,423.0,407.6,435.7,371.5,340.2,343.6,407.6,370.4,431.3
AFFX-r2-Ec-bioB-M_at,542.0,422.4,413.1,409.9,359.8,396.4,398.9,375.6,327.2,371.9,368.6,346.3
AFFX-r2-Ec-bioB-3_at,389.2,263.5,275.7,208.9,274.8,266.7,181.9,232.3,269.3,316.4,251.1,263.5
AFFX-r2-Ec-bioC-5_at,1048.9,983.6,809.3,728.3,707.2,696.1,672.0,733.9,661.0,717.9,775.0,728.3
AFFX-r2-Ec-bioC-3_at,1215.5,923.2,893.7,838.5,887.0,791.0,709.4,769.5,708.7,875.7,721.8,749.1
AFFX-r2-Ec-bioD-5_at,4576.4,3240.3,3274.0,3328.5,3090.8,3038.6,2980.6,2936.1,2991.1,3458.2,2891.2,3234.0
